publication_date,effective_on,department,agency_fr,independent_reg_agency,title_fr,abstract,action,citation,document_number,docket_number,significant,econ_significant,3(f)(1) significant,Major,html_url,Notes,in_fr_df,url,title_gao,agency_gao,subagency,type,description,priority,effective,received,control_number,fed_reg_number,major_rule_report,in_gao_df,regulation_id_number
2021-11-24,2021-11-24,Transportation Department,Federal Aviation Administration,0,Airspace Designations; Incorporation by Reference Amendments,"This action incorporates certain airspace designation amendments into FAA Order JO 7400.11F, dated August 10, 2021, and effective September 15, 2021, for incorporation by reference.","Final rule, administrative correction.",86 FR 66948,2021-25495,FAA-2021-0648,,,,,https://www.federalregister.gov/documents/2021/11/24/2021-25495/airspace-designations-incorporation-by-reference-amendments,,1,,,,,,,,,,,,,0,['2120-AA66']
2021-11-24,2021-12-15,Nuclear Regulatory Commission,,1,"List of Approved Spent Fuel Storage Casks: Holtec International HI-STAR 100 Cask System, Certificate of Compliance No. 1008, Renewal of Initial Certificate and Amendment Nos. 1, 2, and 3","The U.S. Nuclear Regulatory Commission (NRC) is confirming the effective date of December 15, 2021, for the direct final rule that was published in the Federal Register on October 1, 2021. This direct final rule amended the Holtec International HI-STAR 100 Cask System listing in the ""List of approved spent fuel storage casks"" to renew, for an additional 40 years, the initial certificate and Amendment Nos. 1, 2, and 3 of Certificate of Compliance No. 1008.",Direct final rule; confirmation of effective date.,86 FR 66926,2021-25630,NRC-2021-0135,,,,,https://www.federalregister.gov/documents/2021/11/24/2021-25630/list-of-approved-spent-fuel-storage-casks-holtec-international-hi-star-100-cask-system-certificate,,1,,,,,,,,,,,,,0,['3150-AK68']
2021-11-24,2021-12-27,National Credit Union Administration,,0,Chartering and Field of Membership-Shared Facility Requirements,"The NCUA Board (""Board"") is adopting a final rule amending its chartering and field of membership (""FOM"") rules to modernize requirements related to service facilities for multiple common bond (""MCB"") federal credit unions (""FCUs""). The final rule provides that shared locations are service facilities for purposes of MCB FCU additions of groups, regardless of whether the FCU has an ownership interest in the shared branching network providing the locations. Shared locations, including electronic facilities offering required services such as video teller machines, are also service facilities for purposes of MCB FCU additions of underserved areas, regardless of whether the FCU has an ownership interest. The final rule does not include other changes proposed to the definition of service facility; accordingly, ATMs continue to be excluded from the definition of service facility for additions of underserved areas.",Final rule.,86 FR 66927,2021-25609,,,,,,https://www.federalregister.gov/documents/2021/11/24/2021-25609/chartering-and-field-of-membership-shared-facility-requirements,,1,,,,,,,,,,,,,0,['3133-AF23']
2021-11-24,2022-01-01,Commerce Department,National Oceanic and Atmospheric Administration,0,Fisheries of the Northeastern United States; Amendment 7 to the Atlantic Bluefish Fishery Management Plan,"NMFS approves and implements measures included in Amendment 7 to the Atlantic Bluefish Fishery Management Plan, as submitted by the Mid-Atlantic Fishery Management Council. This amendment revises the goals and objectives of the fishery management plan, reallocates quota between the commercial and recreational fisheries, reallocates commercial quota among the states, implements a rebuilding plan, revises the sector quota transfer process, and revises how management uncertainty is applied during the specifications process. Amendment 7 is intended to use the best scientific information available and respond to changes in stock health and distribution, while recognizing economic need and reliance throughout the management area.",Final rule.,86 FR 66977,2021-25649,NOAA-NMFS-2021-0071,,,,,https://www.federalregister.gov/documents/2021/11/24/2021-25649/fisheries-of-the-northeastern-united-states-amendment-7-to-the-atlantic-bluefish-fishery-management,,1,,,,,,,,,,,,,0,['0648-BK64']
2021-11-24,2022-02-22,National Foundation on the Arts and the Humanities,National Endowment for the Humanities,0,Claims Collection,"The National Endowment for the Humanities (NEH) is revising its Claims Collection regulation in accordance with the Debt Collection Improvement Act of 1996 (DCIA), as implemented by the Department of Justice (DOJ) and the Department of Treasury (Treasury) in the revised Federal Claims Collection Standards (FCCS). This final rule revises NEH's rules and procedures for administrative collection, offset, compromise, suspension, and termination of collection activity for civil claims for money, funds, or property. Additionally, this final rule revises the rules and procedures that NEH follows to refer civil claims to Treasury, Treasury-designated debt collection centers, or DOJ so that Treasury or DOJ may collect the civil claim through further administrative action or litigation, as applicable.",Direct final rule.,86 FR 66964,2021-23742,,,,,,https://www.federalregister.gov/documents/2021/11/24/2021-23742/claims-collection,,1,,,,,,,,,,,,,0,['3136-AA38']
2021-11-26,2021-12-01,Homeland Security Department,Coast Guard,0,"Safety Zone; Lower Mississippi River, Mile Markers 595-597, Waxhaw, MS","The Coast Guard is establishing a temporary safety zone for all navigable waters of the Lower Mississippi River (LMR), between Mile Marker 595 and 597. The safety zone is needed to protect persons, property, and the marine environment from the potential safety hazards associated with rock placement operations in the vicinity of Waxhaw, MS. Entry of persons or vessels into this zone is prohibited unless authorized by the Captain of the Port Sector Lower Mississippi River or a designated representative.",Temporary final rule.,86 FR 67326,2021-25766,USCG-2021-0855,,,,,https://www.federalregister.gov/documents/2021/11/26/2021-25766/safety-zone-lower-mississippi-river-mile-markers-595-597-waxhaw-ms,,1,,,,,,,,,,,,,0,['1625-AA00']
2021-11-26,2021-12-06,General Services Administration; Defense Department; National Aeronautics and Space Administration,,0,Federal Acquisition Regulation: Revision of Definition of âCommercial Itemâ; Correction,"DoD, GSA, and NASA published a final rule amending the Federal Acquisition Regulation (FAR) to implement a section of the John S. McCain National Defense Authorization Act for Fiscal Year 2019 to change the definition of ``commercial item.'' This document corrects an erroneous instruction in that rule.",Final rule; correction.,86 FR 67351,2021-25842,FAR-2018-0018,,,,,https://www.federalregister.gov/documents/2021/11/26/2021-25842/federal-acquisition-regulation-revision-of-definition-of-commercial-item-correction,,1,,,,,,,,,,,,,0,['9000-AN76']
2021-11-26,,Health and Human Services Department,,0,Grants Regulation; Removal of Non-Discrimination Provisions and Repromulgation of Administrative Provisions Under the Uniform Grant Regulation,"The U.S. District Court for the District of Columbia in Facing Foster Care et al. v. HHS, 21-cv-00308 (D.D.C. Feb. 2, 2021), has postponed the effectiveness of portions of the final rule making amendments to the Uniform Administrative Requirements, promulgated on January 12, 2021. Those provisions are now effective January 17, 2022.",Notification; postponement of effectiveness.,86 FR 67351,2021-25792,HHS-OS-2022-0008,,,,,https://www.federalregister.gov/documents/2021/11/26/2021-25792/grants-regulation-removal-of-non-discrimination-provisions-and-repromulgation-of-administrative,,1,,,,,,,,,,,,,0,['0991-AC16']
2021-11-29,2021-11-29,Veterans Affairs Department,,0,Schedule for Rating Disabilities: The Cardiovascular System; Correction,"On September 30, 2021, the Department of Veterans Affairs (VA) published in the Federal Register a final rule that amended the portion of the VA Schedule for Rating Disabilities (""VASRD"" or ""rating schedule"") that addresses the cardiovascular system. This correction addresses the application of the general rating formula for diseases of the heart in the published final rule.",Correcting amendments.,86 FR 67654,2021-25931,VA-2019-VBA-0022,,,,,https://www.federalregister.gov/documents/2021/11/29/2021-25931/schedule-for-rating-disabilities-the-cardiovascular-system-correction,,1,,,,,,,,,,,,,0,['2900-AQ67']
2021-11-30,2021-12-30,Nuclear Regulatory Commission,,1,Miscellaneous Corrections,"The U.S. Nuclear Regulatory Commission (NRC) is amending its regulations to make miscellaneous corrections. These changes include correcting a grammatical error, punctuation, a reference, formatting, a mathematical formula, and spelling; clarifying language; revising contact information; and updating an authority citation and internal procedures. This document is necessary to inform the public of these non-substantive amendments to the NRC's regulations.",Final rule.,86 FR 67839,2021-24472,NRC-2021-0169,,,,,https://www.federalregister.gov/documents/2021/11/30/2021-24472/miscellaneous-corrections,,1,,,,,,,,,,,,,0,['3150-AK70']
2021-11-30,2022-01-01,Treasury Department; Consumer Financial Protection Bureau; Federal Reserve System,Comptroller of the Currency,1,Appraisals for Higher-Priced Mortgage Loans Exemption Threshold,"The OCC, the Board, and the Bureau are finalizing amendments to the official interpretations for their regulations that implement section 129H of the Truth in Lending Act (TILA). Section 129H of TILA establishes special appraisal requirements for ``higher-risk mortgages,'' termed ``higher-priced mortgage loans'' or ``HPMLs'' in the agencies' regulations. The OCC, the Board, the Bureau, the Federal Deposit Insurance Corporation (FDIC), the National Credit Union Administration (NCUA), and the Federal Housing Finance Agency (FHFA) (collectively, the Agencies) jointly issued final rules implementing these requirements, effective January 18, 2014. The Agencies' rules exempted, among other loan types, transactions of $25,000 or less, and required that this loan amount be adjusted annually based on any annual percentage increase in the Consumer Price Index for Urban Wage Earners and Clerical Workers (CPI-W). If there is no annual percentage increase in the CPI-W, the OCC, the Board, and the Bureau will not adjust this exemption threshold from the prior year. However, in years following a year in which the exemption threshold was not adjusted, the threshold is calculated by applying the annual percentage increase in the CPI-W to the dollar amount that would have resulted, after rounding, if the decreases and any subsequent increases in the CPI-W had been taken into account. Based on the CPI-W in effect as of June 1, 2021, the exemption threshold will increase from $27,200 to $28,500, effective January 1, 2022.","Final rules, official interpretations and commentary.",86 FR 67843,2021-25908,OCC-2021-0019,,,,,https://www.federalregister.gov/documents/2021/11/30/2021-25908/appraisals-for-higher-priced-mortgage-loans-exemption-threshold,,1,,,,,,,,,,,,,0,['1557-AF13']
2021-12-01,2021-12-01,Agriculture Department,Forest Service,0,National Forest System Land Management Planning; Correction,"This document makes technical corrections to Forest Service regulations regarding National Forest System land management planning. The correction reinstates paragraphs that were inadvertently removed from a final rule published on December 15, 2016.",Technical correction.,86 FR 68149,2021-25947,,,,,,https://www.federalregister.gov/documents/2021/12/01/2021-25947/national-forest-system-land-management-planning-correction,,1,,,,,,,,,,,,,0,['0596-AD28']
2021-12-01,2022-01-03,Homeland Security Department,,0,Financial Responsibility-Vessels; Superseded Pollution Funds,"The Coast Guard is issuing regulations to expand vessel financial responsibility to apply to all tank vessels greater than 100 gross tons as required by statute, and to make other amendments that clarify and update reporting requirements, reflect current practice, and remove unnecessary regulations. These regulations ensure that the Coast Guard has current information when there are significant changes in a vessel's operation, ownership, or evidence of financial responsibility, and reflects current best practices in the Coast Guard's management of the Certificate of Financial Responsibility program.",Final rule.,86 FR 68123,2021-26046,USCG-2017-0788,,,,,https://www.federalregister.gov/documents/2021/12/01/2021-26046/financial-responsibility-vessels-superseded-pollution-funds,,1,,,,,,,,,,,,,0,['1625-AC39']
2021-12-01,2022-01-05,Transportation Department,Federal Aviation Administration,0,Airworthiness Directives; Airbus SAS Airplanes,"The FAA is adopting a new airworthiness directive (AD) for all Airbus SAS Model A330-200, -200 Freighter, -300, and -900 series airplanes; and Model A340-200, -300, -500, and -600 series airplanes. This AD was prompted by a report that during the frame of flight test clearance process, a detailed analysis of air data reference (ADR) failure scenarios led to the identification that compliance requirements for loads and handling qualities throughout the flight envelope could be impaired in case of dispatch with one ADR inoperative (master minimum equipment list (MMEL) item 34-10-01) during the maximum interval allowed by the current MMEL. This AD requires revising the operator's existing FAA-approved minimum equipment list (MEL) for the air data/inertial reference system, as specified in a European Union Aviation Safety Agency (EASA) AD, which is incorporated by reference. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,86 FR 68109,2021-26110,FAA-2021-0568,,,,,https://www.federalregister.gov/documents/2021/12/01/2021-26110/airworthiness-directives-airbus-sas-airplanes,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-01,2022-01-05,Transportation Department,Federal Aviation Administration,0,"Airworthiness Directives; De Havilland Aircraft of Canada Limited (Type Certificate Previously Held by Bombardier, Inc.) Airplanes","The FAA is adopting a new airworthiness directive (AD) for certain De Havilland Aircraft of Canada Limited Model DHC-8-401 and - 402 airplanes. This AD was prompted by reports of loss of hydraulic fluid and annunciation of the check fire detect light. This AD requires doing a detailed visual inspection for chafing and proper clearance of the left-hand (LH) and right-hand (RH) main landing gear (MLG) primary zone advanced pneumatic detector (APD) sensing lines, the hydraulic tube assemblies, and the surrounding structure, and doing all applicable corrective action. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,86 FR 68107,2021-26109,FAA-2021-0656,,,,,https://www.federalregister.gov/documents/2021/12/01/2021-26109/airworthiness-directives-de-havilland-aircraft-of-canada-limited-type-certificate-previously-held-by,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-01,2022-01-05,Transportation Department,Federal Aviation Administration,0,"Airworthiness Directives; Saab AB, Support and Services (Formerly Known as Saab AB, Saab Aeronautics) Airplanes","The FAA is adopting a new airworthiness directive (AD) for certain Saab AB, Support and Services Model SAAB 340B airplanes. This AD was prompted by a report that the circuit breaker for the emergency cabin lighting tripped without fault in the system. This AD requires replacing a certain circuit breaker with a part having a higher rating, as specified in a European Union Aviation Safety Agency (EASA) AD, which is incorporated by reference. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,86 FR 68105,2021-26108,FAA-2021-0616,,,,,https://www.federalregister.gov/documents/2021/12/01/2021-26108/airworthiness-directives-saab-ab-support-and-services-formerly-known-as-saab-ab-saab-aeronautics,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-02,2021-10-01,Farm Credit Administration,,0,Regulatory Capital Rules: Tier 1/Tier 2 Framework,The Farm Credit Administration (FCA) issued a final rule to amend the regulatory capital requirements for Farm Credit System (System or FCS) institutions. The amendments clarified certain provisions in the Tier 1/Tier 2 Capital Framework and codified the guidance provided in an FCA bookletter.,Notification of effective date.,86 FR 68395,2021-26173,,,,,,https://www.federalregister.gov/documents/2021/12/02/2021-26173/regulatory-capital-rules-tier-1tier-2-framework,,1,,,,,,,,,,,,,0,['3052-AD27']
2021-12-02,2021-12-02,Energy Department,,0,Energy Conservation Program: Test Procedures for Central Air Conditioners and Heat Pumps; Correction,"On January 5, 2017, the U.S. Department of Energy (""DOE"") published a final rule that made two sets of amendments to the test procedure for central air conditioners and heat pumps (""CAC/HPs""): amendments to the existing test procedure required for determining compliance with the current energy conservation standards; and establishment of a new test procedure that would be the basis for making efficiency representations as of the compliance date for any amended energy conservation standards. This document corrects typographical errors, omissions, and incorrect cross-references in the Code of Federal Regulations that resulted from the January 2017 final rule. Neither the errors nor the corrections in this document affect the substance of the rulemaking or any conclusions reached in support of the final rule.",Final rule; correcting amendments.,86 FR 68389,2021-25539,EERE-2016-BT-TP-0029,,,,,https://www.federalregister.gov/documents/2021/12/02/2021-25539/energy-conservation-program-test-procedures-for-central-air-conditioners-and-heat-pumps-correction,,1,,,,,,,,,,,,,0,['1904-AD71']
2021-12-02,2021-12-02,Homeland Security Department,Coast Guard,0,"Safety Zone; Haro Strait, San Juan County, WA","The Coast Guard is establishing a temporary moving safety zone for navigable waters within a 500-yard radius around the ZIM KINGSTON. The safety zone is needed to protect personnel, vessels, and the marine environment from the potential hazards associated with the vessel transit. Entry of vessels or persons into this zone is prohibited unless specifically authorized by the Captain of the Port Sector Puget Sound.",Temporary final rule.,86 FR 68407,2021-26157,USCG-2021-0891,,,,,https://www.federalregister.gov/documents/2021/12/02/2021-26157/safety-zone-haro-strait-san-juan-county-wa,,1,,,,,,,,,,,,,0,['1625-AA00']
2021-12-02,2021-12-03,Homeland Security Department,Coast Guard,0,"Safety Zone; Fireworks Display, Columbia River, Richland, WA","The Coast Guard is establishing a temporary safety zone for all navigable waters within a 600-foot radius of a fireworks display on the Columbia River for the City of Richland Christmas Fireworks Display in Richland, WA. This action is necessary to provide for the safety of life on these navigable waters during the fireworks display. Entry of vessels or persons, transiting though, mooring, or anchoring within the safety zone is prohibited unless authorized by the Captain of the Port Sector Columbia River or a designated representative.",Temporary final rule.,86 FR 68406,2021-26158,USCG-2021-0875,,,,,https://www.federalregister.gov/documents/2021/12/02/2021-26158/safety-zone-fireworks-display-columbia-river-richland-wa,,1,,,,,,,,,,,,,0,['1625-AAOO']
2021-12-02,2022-01-27,Transportation Department,Federal Aviation Administration,0,"Amendment Class D and Class E Airspace; Ardmore, OK","This action corrects typographic errors in the final rule published in the Federal Register on October 26, 2021, amending the Class D and Class E airspace at Ardmore, OK.",Final rule; correction.,86 FR 68395,2021-26187,FAA-2021-0674,,,,,https://www.federalregister.gov/documents/2021/12/02/2021-26187/amendment-class-d-and-class-e-airspace-ardmore-ok,,1,,,,,,,,,,,,,0,['2120-AA66']
2021-12-03,2021-11-05,Labor Department,Occupational Safety and Health Administration,0,COVID-19 Vaccination and Testing; Emergency Temporary Standard,The period for submitting public comments is being extended by 45 days to allow stakeholders interested in the COVID-19 vaccination and testing emergency temporary standard (ETS) additional time to review the ETS and collect information and data necessary for comment.,Interim final rule; extension of comment period.,86 FR 68560,2021-26268,OSHA-2021-0007,,,,,https://www.federalregister.gov/documents/2021/12/03/2021-26268/covid-19-vaccination-and-testing-emergency-temporary-standard,,1,,,,,,,,,,,,,0,['1218-AD42']
2021-12-03,2022-01-27,Transportation Department,Federal Aviation Administration,0,"Establishment of Class E Airspace; Fulton, KY","This action establishes Class E airspace extending upward from 700 feet above the surface for Fulton Airport, Fulton, KY, to accommodate new area navigation (RNAV) global positioning system (GPS) standard instrument approach procedures (SIAPs) serving this airport. Controlled airspace is necessary for the safety and management of instrument flight rules (IFR) operations in the area.",Final rule.,86 FR 68538,2021-26237,FAA-2021-0801,,,,,https://www.federalregister.gov/documents/2021/12/03/2021-26237/establishment-of-class-e-airspace-fulton-ky,,1,,,,,,,,,,,,,0,['2120-AA66']
2021-12-06,2022-01-10,Transportation Department,Federal Aviation Administration,0,Airworthiness Directives; ASI Aviation (Type Certificate Previously Held by Reims Aviation S.A.) Airplanes,"The FAA is superseding Airworthiness Directive (AD) 2015-16-07 R1, which applied to certain Reims Aviation S.A. (type certificate now held by ASI Aviation) Model F406 airplanes. AD 2015-16-07 R1 required inspecting the left-hand and right-hand rudder control pedal torque tubes and replacing with a serviceable part as necessary. Since the FAA issued AD 2015-16-07 R1, the European Aviation Safety Agency (EASA) superseded its mandatory continuing airworthiness information (MCAI) to correct an unsafe condition on these products. This AD retains the requirements of AD 2015-16-07 R1, expands the applicability, and requires repeating the inspections using updated procedures. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,86 FR 68897,2021-26329,FAA-2021-0712,,,,,https://www.federalregister.gov/documents/2021/12/06/2021-26329/airworthiness-directives-asi-aviation-type-certificate-previously-held-by-reims-aviation-sa,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-06,2022-01-10,Transportation Department,Federal Aviation Administration,0,Airworthiness Directives; Airbus SAS Airplanes,"The FAA is adopting a new airworthiness directive (AD) for certain Airbus SAS Model A319-111, -112, -113, -114, -115, -131, -132, and -133 airplanes; Model A320-211, -212, -214, -216, -231, -232, and - 233 airplanes; and Model A321-111, -112, -131, -211, -212, -213, -231, and -232 airplanes. This AD was prompted by a report that during re- engineering of galley G5, a 9G forward full scale qualification test was performed, and the door of the waste compartment opened before the required load was reached. This AD requires modifying the waste compartment door of each affected galley, as specified in a European Aviation Safety Agency (EASA) AD, which is incorporated by reference The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,86 FR 68894,2021-26394,FAA-2021-0722,,,,,https://www.federalregister.gov/documents/2021/12/06/2021-26394/airworthiness-directives-airbus-sas-airplanes,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-06,2022-01-10,Transportation Department,Federal Aviation Administration,0,"Airworthiness Directives; Bombardier, Inc., Airplanes","The FAA is adopting a new airworthiness directive (AD) for certain Bombardier, Inc., Model BD-100-1A10 airplanes. This AD was prompted by reports of erratic electrical system status on the push button annunciators (PBAs) and the engine instrument and crew alerting system (EICAS). This AD requires revising the existing airplane flight manual (AFM) to incorporate procedures to be applied during erroneous electrical status indication conditions. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,86 FR 68889,2021-26391,FAA-2021-0691,,,,,https://www.federalregister.gov/documents/2021/12/06/2021-26391/airworthiness-directives-bombardier-inc-airplanes,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-06,2022-01-10,Transportation Department,Federal Aviation Administration,0,Airworthiness Directives; Hoffmann GmbH & Co. KG Propellers,"The FAA is superseding Airworthiness Directive (AD) 2020-25-05 for all Hoffmann GmbH & Co. KG (Hoffmann) model HO-V 72 propellers. AD 2020-25-05 required amending the existing aircraft flight manual (AFM) with abnormal propeller vibration instructions. AD 2020-25-05 also required visual inspection and non-destructive test (NDT) inspection of the propeller hub and, depending on the results of the inspections, replacement of the propeller hub with a part eligible for installation. AD 2020-25-05 also required replacement of the propeller hub before exceeding 30 years since the date of manufacture. This AD was prompted by reports of cracks at different positions on two affected propeller hubs and subsequent manufacturer revision of the service information, which showed that the 30-year life limit of the propeller hub is no longer needed. This AD requires amending the existing AFM by inserting abnormal propeller vibration instructions, visual inspection and NDT inspection of the propeller hub and, depending on the results of the inspections, replacement of the propeller hub with a part eligible for installation. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,86 FR 68905,2021-26365,FAA-2021-0546,,,,,https://www.federalregister.gov/documents/2021/12/06/2021-26365/airworthiness-directives-hoffmann-gmbh-and-co-kg-propellers,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-06,2022-01-10,Transportation Department,Federal Aviation Administration,0,Airworthiness Directives; Learjet Inc. Airplanes,"The FAA is adopting a new airworthiness directive (AD) for certain Learjet Inc. (Learjet) Model 45 airplanes. This AD was prompted by reports of corrosion found on the upper surface of the lower center wing mid spar splice plate. This AD requires repetitively inspecting the center wing area for corrosion and deterioration of protective treatments, removing any corrosion, and treating any deteriorated areas. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,86 FR 68899,2021-26330,FAA-2021-0157,,,,,https://www.federalregister.gov/documents/2021/12/06/2021-26330/airworthiness-directives-learjet-inc-airplanes,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-06,2022-01-10,Transportation Department,Federal Aviation Administration,0,Airworthiness Directives; Learjet Inc. Airplanes,The FAA is adopting a new airworthiness directive (AD) for certain Learjet Inc. Model 45 airplanes. This AD was prompted by a report of a fuel leak due to a cracked fuel line between the engine fuel control and the engine fuel flow meter. This AD requires replacing the existing fuel flow meter bracket assembly with a redesigned bracket assembly and reporting information to the FAA. The FAA is issuing this AD to address the unsafe condition on these products.,Final rule.,86 FR 68887,2021-26331,FAA-2021-0660,,,,,https://www.federalregister.gov/documents/2021/12/06/2021-26331/airworthiness-directives-learjet-inc-airplanes,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-06,2022-01-10,Transportation Department,Federal Aviation Administration,0,Airworthiness Directives; Leonardo S.p.a. Helicopters,"The FAA is adopting a new airworthiness directive (AD) for certain Leonardo S.p.a. Model A109E helicopters. This AD was prompted by reports of cracking in the center fuselage frame assembly in the intersection of the lateral pylon and floor spar at station (STA) 1815 on the left- and right-hand sides. This AD requires repetitive inspections of the intersection of the lateral pylon and floor spar at STA 1815 for cracking and, depending on the findings, repair, as specified in a European Union Aviation Safety Agency (EASA) AD, which is incorporated by reference. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,86 FR 68892,2021-26333,FAA-2021-0697,,,,,https://www.federalregister.gov/documents/2021/12/06/2021-26333/airworthiness-directives-leonardo-spa-helicopters,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-06,2022-01-10,Transportation Department,Federal Aviation Administration,0,Airworthiness Directives; MD Helicopters Inc. (MDHI) Helicopters,"The FAA is adopting a new airworthiness directive (AD) for certain MD Helicopters Inc. (MDHI), Model 369D, 369E, 369F, 369FF, 369H, 369HE, 369HM, 369HS, 500N, and 600N helicopters. This AD was prompted by a report of a spiral crack in the pilot-to-copilot tail rotor torque tube (torque tube). This AD requires a one-time visual and recurring borescope inspections of the torque tube and depending on the results, removing the torque tube from service. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,86 FR 68884,2021-26332,FAA-2021-0653,,,,,https://www.federalregister.gov/documents/2021/12/06/2021-26332/airworthiness-directives-md-helicopters-inc-mdhi-helicopters,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-06,2022-01-10,Transportation Department,Federal Aviation Administration,0,Airworthiness Directives; The Boeing Company Airplanes,"The FAA is adopting a new airworthiness directive (AD) for certain The Boeing Company Model 787-8 and 787-9 airplanes. This AD was prompted by reports that shimming requirements were not met during the assembly of certain structural joints, which can result in reduced fatigue thresholds and cracking of the affected structural joints. This AD requires repetitive inspections for cracking of certain areas of the aft wheel well bulkhead (AWWB) body chord and AWWB side fitting and failsafe straps, and repair of any cracking found. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,86 FR 68910,2021-26392,FAA-2021-0338,,,,,https://www.federalregister.gov/documents/2021/12/06/2021-26392/airworthiness-directives-the-boeing-company-airplanes,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-06,2022-01-10,Transportation Department,Federal Aviation Administration,0,Airworthiness Directives; The Boeing Company Airplanes,"The FAA is adopting a new airworthiness directive (AD) for certain The Boeing Company Model 787-8 and 787-9 airplanes. This AD was prompted by reports that shimming requirements were not met during the assembly of certain structural joints, which can result in reduced fatigue thresholds of the affected structural joints. This AD requires repetitive inspections for cracking of certain areas of the front spar pickle fork and front spar outer chord and repair of any cracking found. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,86 FR 68902,2021-26393,FAA-2021-0332,,,,,https://www.federalregister.gov/documents/2021/12/06/2021-26393/airworthiness-directives-the-boeing-company-airplanes,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-06,2022-02-04,Transportation Department,Federal Aviation Administration,0,Airworthiness Directives; Leonardo S.p.a Helicopters,"The FAA is adopting a new airworthiness directive (AD) for certain Leonardo S.p.a. Model AW109SP helicopters. This AD was prompted by reports of an ineligible hydraulic pump being installed on Model AW109SP helicopters. This AD requires inspecting each hydraulic pump for damage and, depending on the inspections results, removing parts from service and accomplishing other corrective actions. This AD also requires removing certain parts from service before they exceed their life limits. The corrective actions are required to be accomplished as specified in a European Union Aviation Safety Agency (EASA) AD, which is incorporated by reference. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,86 FR 68907,2021-26334,FAA-2021-0720,,,,,https://www.federalregister.gov/documents/2021/12/06/2021-26334/airworthiness-directives-leonardo-spa-helicopters,,1,,,,,,,,,,,,,0,['2120-AA64']
2021-12-06,2022-03-24,Transportation Department,Federal Aviation Administration,0,"Amendment of Class E Airspace; Galesburg, IL","This action amends the Class E airspace at Monmouth Municipal Airport, Monmouth, IL, contained within the Galesburg, IL, airspace legal description. This action is the result of an airspace review caused by the decommissioning of the Galesburg very high frequency (VHF) omnidirectional range (VOR) as part of the VOR Minimal Operational Network (MON) Program.",Final rule.,86 FR 68912,2021-26370,FAA-2021-0732,,,,,https://www.federalregister.gov/documents/2021/12/06/2021-26370/amendment-of-class-e-airspace-galesburg-il,,1,,,,,,,,,,,,,0,['2120-AA66']
2021-12-07,2021-12-07,Commerce Department,National Oceanic and Atmospheric Administration,0,Extension of the Authorized Restricted Tow Times in Lieu of Turtle Excluder Devices for an Additional 30 Days by Shrimp Trawlers in Specific Louisiana Waters,"NMFS issues this temporary rule for a period of 30 days, to allow shrimp fishers to use limited tow times as an alternative to Turtle Excluder Devices (TEDs) in specific Louisiana State waters (from 91[deg]23' West longitude eastward to the Louisiana/Mississippi border, and seaward out 3 nautical miles (5.6 kilometers)). This action is necessary because environmental conditions resulting from Hurricane Ida are preventing fishers from using TEDs effectively.",Temporary rule.,86 FR 69178,2021-26513,,,,,,https://www.federalregister.gov/documents/2021/12/07/2021-26513/extension-of-the-authorized-restricted-tow-times-in-lieu-of-turtle-excluder-devices-for-an,,1,,,,,,,,,,,,,0,['0648-BK98']
